Student_ID,Name,Programming,Hardware Assembly,Calculus,Electronics,Semiconductor Devices
21281364,Samuel Appiah,72,80,68,70,63
21256286,Yaa Hlordzi,73,62,61,69,78
21161569,Kwesi Acquah,78,80,63,73,74
21180632,Ama Lomotey,91,87,90,87,76
21220390,Felix Nkansah,77,82,57,61,79
21282748,Bright Domfeh,92,97,75,86,88
21011919,Boamah Nyarko,93,90,84,88,96
21241500,Amoah Antwi,81,90,75,73,69
21008202,Jason Sarfo,79,90,89,78,81
21025520,Terrance Adjei,61,74,70,56,86
21122768,Oliver Ankrah,85,55,58,62,71
21075109,Divine Opoku,73,85,64,68,80
21291425,Dominic Amponsah,86,86,71,77,68
21218274,Martin Antwi,65,84,60,78,71
21242758,Akwasi Nortey,82,80,68,74,74
21106607,Twumasi Ziem,100,81,99,95,90
21020734,Abena Ansah,84,79,65,69,75
21174569,Boamah Asante,100,74,100,100,76
21107223,Kenneth Quayson,66,62,71,54,67
21161702,Obeng Poku,72,59,69,53,66
21106497,Felix Ankrah,63,85,75,70,69
21290094,Percy Quartson,88,94,88,99,97
21176980,Hubert Bentil,84,86,85,99,100
21088743,Bright Lomotey,77,85,90,69,55
21038970,Kweku Mensah,68,77,79,74,72
21114672,Edward Kusi,86,79,91,68,74
21279032,Leonard Opoku,87,100,89,82,87
21263305,Robert Asamoah,96,83,89,99,88
21208088,Akua Dankwah,77,64,72,68,64
21042266,Yusuf Osei,82,92,77,90,87
21227493,Xavier Nkrumah,62,86,62,79,54
21120463,Prince Odoom,68,88,67,64,59
21094033,Darko Boateng,79,71,75,80,74
21040337,Boamah Ofori,66,80,52,76,58
21073374,Amoah Amponsah,100,74,94,81,100
21207986,Gyasi Owusu,88,100,85,92,100
21199267,Akua Vordzorgbe,72,79,63,79,77
21080885,Henry Ankrah,76,76,72,82,74
21098247,Robert Dankwa,69,57,62,72,66
21048792,Raymond Safo,74,85,76,86,93
21127266,Oliver Inkoom,91,80,78,81,88
21076511,Ama Appiah,69,77,72,63,82
21259943,Raymond Ussher,78,78,83,90,82
21199171,Twumasi Afriyie,61,81,69,66,72
21105304,Benedict Ankrah,92,100,77,79,94
21257429,Oliver Asiedu,65,85,72,77,65
21286066,James Mawuli,84,97,85,86,80
21152741,Ama Opoku,81,92,93,100,89
21038779,Thomas Safo,56,61,65,84,63
21219310,Eric Klutse,63,62,66,53,58
21023224,Nathan Ziem,100,79,75,85,100
21055545,Kofi Agyei,77,88,64,71,76
21242778,Quentin Gyan,90,81,83,89,87
21045012,Efua Tenkorang,72,83,77,84,67
21237212,Darko Frimpong,76,87,78,82,76
21057337,Michael Asiedu,67,69,46,58,66
21096705,James Yankey,100,90,93,88,89
21225209,Henry Mensah,93,98,88,78,79
21193395,Esi Osei,85,92,84,96,91
21255780,Robert Fiave,69,74,78,65,82
21000280,Vincent Kodua,99,86,91,87,79
21281825,Ruth Sodoke,63,72,63,66,66
21167528,Nathan Kyei,78,75,70,79,73
21125954,Agyei Addae,81,77,73,68,58
21081775,Solomon Fiave,100,91,98,98,77
21053656,Agyei Turkson,91,94,90,80,88
21260280,Nathan Quartey,54,53,72,72,71
21271828,Solomon Sabi,71,77,69,69,62
21109111,Eric Darko,72,62,67,63,63
21259630,Grace Owiredu,76,79,80,79,86
21079110,Darko Asiedu,88,85,85,90,68
21076090,Bright Sabi,70,66,67,75,75
21267228,Diana Ankrah,69,65,56,71,70
21245227,Asante Welbeck,80,83,86,75,83
21297780,Kojo Acquah,80,75,65,81,84
21167224,Esi Odoom,93,88,91,79,88
21253385,Patrick Klutse,74,83,86,76,100
21089127,Percy Fiave,58,65,58,79,67
21033207,Ursula Dzakpasu,61,73,74,67,80
21022042,Darko Domfeh,86,100,80,93,89
21267724,Mansa Baidoo,69,77,52,69,57
21230368,Harold Fiagbey,71,77,77,72,73
21229945,Thomas Ohene,74,72,65,74,72
21127364,Divine Frimpong,79,62,78,55,57
21112452,Bonsu Koduah,95,91,100,94,87
21211703,Derrick Sabi,71,67,65,63,66
21109211,Theresa Yankey,97,77,94,80,89
21114632,Martin Bonsu,96,96,79,92,85
21176874,Akpene Inkoom,62,88,72,75,63
21254821,Yaw Anane,75,64,66,58,67
21202882,Kenneth Sarpong,80,91,77,84,80
21156622,Monica Bentil,95,94,87,77,96
21221692,Diana Owiredu,100,96,92,92,90
21163668,Kenneth Owiredu,82,89,73,83,82
21030438,Asante Sarpong,71,73,78,62,59
21004306,Gyasi Attah,72,71,59,72,62
21136646,Efua Quartey,76,62,60,59,69
21032873,Afia Mantey,74,75,84,88,74
21189479,Zainab Yanney,79,92,93,95,93
21218184,Beatrice Ofei,68,68,70,75,73
21098240,Dominic Kyei,47,71,72,60,61
21099305,Dominic Mawuli,100,83,99,96,84
21294617,Zainab Baffoe,56,60,63,49,77
21119423,Michael Twumasi,87,97,91,86,99
21272450,Frimpong Fiave,69,73,87,54,96
21048821,Solomon Acheampong,89,86,79,88,80
21161889,Hubert Marfo,80,85,92,89,82
21193530,Adjoa Yirenkyi,71,76,64,85,76
21193783,Christian Dankwa,88,89,100,88,86
21043168,Obeng Ntiamoah,74,86,77,89,76
21252180,John Nukpezah,81,86,78,87,76
21072443,Felix Ocran,79,72,73,71,94
21251754,Selorm Baffoe,90,95,90,66,85
21234413,Martin Rockson,86,58,58,57,67
21006864,Grace Konadu,67,63,59,61,64
21098081,Victor Owusu,70,76,70,76,69
21223578,Derrick Turkson,48,64,65,61,76
21062915,Akpene Siaw,83,91,74,73,67
21136303,Mansa Adomako,60,77,85,86,68
21007588,Michael Quartson,73,63,56,40,66
21039629,Percy Quartey,68,50,87,72,69
21117685,Jonathan Ohene,65,84,90,82,80
21220370,Irene Gbewonyo,82,81,98,82,75
21147817,Monica Ayeh,81,88,93,77,96
21244225,Eric Armah,73,74,94,66,90
21297786,Daniel Nsiah,56,70,81,64,65
21076847,Leonard Awuah,84,90,93,98,93
21278941,George Lomotey,76,78,65,70,64
21091092,Eyram Buabeng,92,97,100,83,88
21089836,Twumasi Odoom,68,60,72,72,69
21182991,Wendy Aidoo,64,69,63,53,61
21006745,Yaw Ansah,81,99,99,93,89
21157695,David Kyei,73,82,85,83,94
21150284,Martin Inkoom,65,83,78,82,74
21053968,Delali Yankey,70,75,72,73,71
21063177,Patience Takyi,100,93,93,100,80
21184268,Nana Ocran,84,77,82,80,72
21211187,Sandra Nuworkpor,94,82,75,67,83
21195775,Harold Turkson,75,55,66,65,71
21023249,Selorm Hoggar,76,74,84,80,75
21031551,Yusuf Mantey,71,79,90,83,72
21282892,Kofi Sodoke,65,74,75,70,74
21244274,Bonsu Nyante,65,83,98,85,69
21085855,Thomas Baah,100,91,91,89,100
21071772,Terrance Hoggar,75,79,89,92,93
21138576,Beatrice Adjei,100,100,89,100,99
21150763,Victor Ankrah,63,57,65,70,74
21226133,Gyasi Adjei,63,68,70,76,65
21029190,Victor Dankwa,80,75,81,79,77
21073680,Florence Danquah,85,91,75,84,76
21236077,Adjoa Sarfo,64,49,65,57,53
21188967,Kevin Asumadu,81,87,87,85,79
21156295,Henry Opare,77,72,90,70,90
21245735,Kafui Poku,62,53,65,67,69
21083608,Nicholas Amoah,89,93,96,94,89
21066265,Benedict Nyante,92,67,77,76,71
21264061,Robert Dankwa,70,47,67,59,58
21133352,Yusuf Duah,75,86,74,92,64
21156187,Amoah Asiedu,95,86,96,86,88
21109258,Kojo Dankwah,95,100,79,82,87
21105066,Naomi Bentil,94,87,87,75,90
21183258,Kweku Domfeh,76,85,69,82,73
21050666,Cecilia Sabi,94,75,63,73,88
21197137,Thomas Laryea,76,86,78,65,67
21140288,Christian Bekoe,79,62,79,67,75
21069107,Akosua Gbewonyo,86,96,79,85,85
21147711,Lawrence Paintsil,71,90,82,87,86
21106798,Sandra Mireku,88,78,80,91,84
21038128,Esi Gbewonyo,90,100,98,85,93
21045165,John Acquah,72,69,75,72,61
21293087,Oliver Ocran,72,70,59,58,70
21230431,Eyram Asumadu,74,83,82,74,79
21199894,Sandra Hoggar,100,100,100,91,91
21140755,Divine Boakye,70,83,59,53,72
21067398,Josephine Antwi,77,87,69,64,68
21086184,Isaac Fordjour,63,61,72,63,73
21285253,Esi Tweneboah,85,74,91,94,78
21106151,Agyei Asirifi,63,75,70,67,58
21165452,Abigail Nkrumah,100,93,79,85,82
21046505,Hannah Dzakpasu,78,83,85,76,91
21072802,Delali Mantey,73,88,84,72,75
21148290,Oliver Nimako,83,82,86,78,83
21293390,Maxwell Lartey,72,77,67,97,81
21197951,Kathleen Owusu,97,88,86,94,94
21174331,Zainab Opare,93,85,91,91,79
21082445,Hannah Ohene,87,84,83,78,82
21178541,Gyasi Nyarko,83,83,82,80,78
21066196,Theresa Kumi,81,90,80,84,81
21084644,Kathleen Klu,77,80,77,81,82
21123982,Bright Otu,96,65,72,79,73
21086340,Selorm Tweneboah,76,82,68,72,75
21113757,Thomas Ankrah,72,81,68,89,80
21290139,Gyasi Hoggar,71,64,82,80,77
21004970,Asare Ankrah,79,93,95,95,100
21234036,Memuna Dankwa,67,58,76,67,68
21298348,Yaw Ankomah,85,85,92,83,100
21088952,Raymond Adomako,75,77,78,68,76
21107418,Harold Marfo,68,59,65,50,63
21233470,Akwasi Asirifi,75,83,67,78,80
21233185,William Wiah,85,92,89,86,74
21219427,Eyram Tetteh,70,95,89,81,86
21216427,Irene Domfeh,91,91,86,88,97
21235778,Olivia Adomako,82,71,69,63,65
21079220,Nathan Lartey,82,100,91,100,79
21151439,Kwame Buabeng,73,69,53,58,63
21101941,Hubert Danquah,79,74,84,74,85
21289263,Jonathan Yeboah,85,84,98,95,86
21103807,Kathleen Mensah,65,83,75,56,57
21152297,Solomon Tsikata,94,88,87,87,96
21133676,Bright Acquah,80,90,100,77,84
21233423,Benedict Ocran,90,80,88,66,80
21287451,Divine Gyasi,73,63,85,73,67
21082810,Kwesi Agyei,72,89,87,92,73
21195872,Veronica Boadu,85,70,68,65,81
21235791,Kwabena Sewornu,71,74,72,75,83
21117993,Daniel Asamoah,82,84,72,80,76
21232697,Abena Tweneboah,96,98,100,79,96
21142587,Monica Gyasi,97,92,91,90,100
21094266,Kofi Sarfo,72,87,71,83,86
21163687,Memuna Afriyie,73,71,69,78,84
21073526,Josephine Safo,84,85,95,73,65
21060110,Afia Addae,91,56,75,78,67
21087762,Obeng Sarfo,63,72,67,76,79
21147267,Yaa Dzakpasu,81,89,74,90,93
21057754,Kweku Quaye,97,72,100,100,89
21058688,Wesley Appiah,64,69,68,78,68
21205158,Ruth Asumadu,97,87,83,82,81
21132967,Elikem Yanney,100,86,83,100,81
21265550,Elikem Quartson,90,100,99,92,82
21181044,Akwasi Gyan,69,92,73,76,67
21190793,Vincent Ofei,73,67,73,78,64
21202855,Eric Tenkorang,68,64,77,88,74
21273051,Ruth Opoku,97,81,81,86,77
21188492,Florence Kusi,88,73,96,94,81
21086624,Akpene Yirenkyi,63,64,74,56,61
21143330,Eric Boadu,87,93,74,76,86
21246161,Michael Poku,96,90,94,79,72
21225386,Amoah Lokko,85,84,87,84,76
21160190,James Safo,85,73,89,83,86
21185857,Boamah Antwi,63,62,72,68,60
21051326,Divine Buabeng,65,75,73,70,65
21257772,Agyei Karikari,55,74,67,60,56
21111839,Victor Takyi,80,67,77,72,79
21128036,Dzidzor Asamoah,58,70,88,61,71
21223507,Richard Kodua,90,77,67,72,82
21072013,Cecilia Quaye,55,86,55,68,74
21059386,Patience Quaicoe,98,82,100,81,89
21107863,Bonsu Koomson,79,56,61,60,53
21241264,Patience Ansah,51,68,64,59,72
21227328,Eyram Donkor,84,92,61,91,82
21292923,Kwame Ankomah,84,64,88,78,73
21253335,Linda Opare,93,96,85,90,83
21177929,Kweku Ohene,92,75,89,77,68
21266337,Bonsu Boakye,76,79,91,75,77
21014502,Abena Safo,80,85,82,93,78
21189079,William Nkrumah,67,76,79,67,59
21293060,Robert Appiah,67,71,56,68,72
21050054,Raymond Koomson,92,87,95,92,92
21098115,Dominic Kwofie,91,70,81,72,69
21132324,Lawrence Bekoe,85,83,89,100,76
21122364,Kafui Armah,71,70,64,62,68
21153345,Kathleen Cudjoe,99,83,85,95,89
21153216,Derrick Buabeng,67,91,79,93,83
